,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
648,002103,广博股份,0.1788,0.0271,4.17,0.1526,15.5175
649,000538,云南白药,0.1786,0.046,1.4879,0.1563,19.1386
650,000420,吉林化纤,0.1782,0.0184,133.1098,0.0281,3.0252
651,600120,浙江东方,0.1782,0.0207,1.4703,0.0471,6.2628
652,000059,华锦股份,0.1779,0.0368,2.3762,0.0539,6.5145
653,002561,徐家汇,0.1778,0.0401,1.4304,0.2252,26.0362
654,002361,神剑股份,0.1778,0.0191,1.5671,0.0739,8.3175
655,300146,汤臣倍健,0.1777,0.0219,0.5292,0.119,12.1117
656,603188,ST亚邦,0.1776,0.0275,0.7208,0.1578,16.9333
657,603088,宁波精达,0.177,0.0143,6.0477,0.069,7.7383
658,300093,金刚玻璃,0.177,0.0092,28.86,0.0308,3.2329
659,600251,冠农股份,0.1768,0.0184,,0.0473,4.9578
660,300163,先锋新材,0.1766,0.0275,10.3393,0.0671,11.4995
661,600305,恒顺醋业,0.1763,0.0278,1.7474,0.093,10.5894
662,000799,酒鬼酒,0.1762,0.0129,1.145,0.0584,6.0101
663,002029,七匹狼,0.176,0.0174,1.9164,0.0614,6.3627
664,002271,东方雨虹,0.1754,0.0295,3.2666,0.0853,8.851
665,600527,江南高纤,0.1744,0.0229,17.7404,0.6326,86.6148
666,002604,*ST龙力,0.1742,0.0093,2.0195,0.031,3.5704
667,600569,安阳钢铁,0.1742,0.0268,,0.032,3.8482
668,601888,中国国旅,0.1741,0.0547,1.1994,0.227,23.6741
669,002158,汉钟精机,0.174,0.0128,1.2007,0.0739,7.9375
670,000529,广弘控股,0.1739,0.0581,4.5243,0.2466,24.9674
671,603298,杭叉集团,0.1739,,1.9793,,
672,600029,南方航空,0.1738,0.0261,1.6083,0.0363,7.7704
673,601828,美凯龙,0.1735,0.0045,0.3307,0.0101,4.1444
674,600889,南京化纤,0.1733,0.0296,9.0088,0.0912,12.5987
675,601857,中国石油,0.173,0.0255,,0.0577,12.4878
676,603199,九华旅游,0.1728,0.0187,0.7097,0.1951,23.8216
677,002050,三花智控,0.1727,0.0325,1.984,0.0823,11.7811
678,002574,明牌珠宝,0.1726,0.0452,7.9152,0.1223,27.3303
679,000629,攀钢钒钛,0.1721,0.0087,4.7089,0.0105,1.8522
680,300498,温氏股份,0.1721,0.0674,0.721,0.2891,29.4773
681,300192,科斯伍德,0.1721,0.0236,2.0858,0.1868,18.6786
682,000333,美的集团,0.172,0.0446,1.5828,0.0759,7.6546
683,300392,腾信股份,0.1719,0.0361,1.9659,0.1132,16.8386
684,600126,杭钢股份,0.1718,0.0334,6.5583,0.0685,7.291
685,600834,申通地铁,0.1712,0.0119,1.6449,0.0264,5.46
686,600103,青山纸业,0.1711,0.0278,,0.0456,6.3362
687,603900,莱绅通灵,0.1707,0.0482,0.8981,0.1531,15.5674
688,603077,和邦生物,0.1706,0.0101,2.2153,0.0244,2.9635
689,002441,众业达,0.1705,0.0448,6.6109,0.1861,18.8609
690,603988,中电电机,0.1698,0.0125,0.9028,0.0625,6.2497
691,603518,维格娜丝,0.1698,0.021,1.4323,0.2329,26.9571
692,300491,通合科技,0.1698,0.0119,0.9473,0.0579,7.687
693,603320,迪贝电气,0.1689,,1.9901,,
694,300482,万孚生物,0.1687,0.0208,0.6488,0.1945,22.2889
695,000637,茂化实华,0.1684,0.0843,13.6346,0.4169,45.4666
696,002588,史丹利,0.1683,0.0397,1.5771,0.119,13.4201
697,603677,奇精机械,0.1681,,2.5375,,
698,601799,星宇股份,0.1679,0.033,1.5369,0.0873,9.1698
699,002759,天际股份,0.1679,0.0294,1.1185,0.2943,29.4301
700,600979,广安爱众,0.1678,0.0102,6.0031,0.0145,3.8241
701,603037,凯众股份,0.1678,,0.6116,,
702,600549,厦门钨业,0.1673,0.0152,4.5311,0.0307,4.4665
703,002056,横店东磁,0.1673,0.0355,1.9472,0.118,19.5625
704,600335,国机汽车,0.1669,0.098,12.6621,0.1317,14.367
705,002363,隆基机械,0.1669,0.0276,2.8988,0.1136,11.3611
706,600880,博瑞传播,0.1668,0.0084,23.5002,0.0638,7.0744
707,601877,正泰电器,0.1668,0.0317,1.1602,0.0774,8.0972
708,600660,福耀玻璃,0.1668,0.0225,1.0217,0.0634,7.3805
709,002328,新朋股份,0.1667,0.0347,4.7556,0.1088,11.4547
710,603026,石大胜华,0.1666,0.0677,3.4431,0.215,21.7616
711,600323,瀚蓝环境,0.1664,0.0113,1.1903,0.0193,4.587
712,002001,新和成,0.1656,0.0186,1.0946,0.0731,7.8125
713,002479,富春环保,0.1656,0.0223,2.0691,0.0615,8.2851
714,002110,三钢闽光,0.165,0.061,10.381,0.0792,10.254
715,000012,南玻A,0.1641,0.021,1.5618,0.0449,7.0471
716,300196,长海股份,0.1641,0.0276,1.2312,0.0853,12.1459
717,300432,富临精工,0.1641,0.0295,0.7316,0.0899,9.7111
718,603868,飞科电器,0.1641,0.076,0.885,0.2918,31.0137
719,603005,晶方科技,0.1636,0.0102,1.2467,0.065,9.1687
720,002667,鞍重股份,0.1636,0.0051,4.588,0.0562,8.0616
721,002674,兴业科技,0.1635,0.0302,90.1578,0.0966,9.7419
722,600585,海螺水泥,0.1634,0.0161,1.4758,0.0529,8.8753
723,600366,宁波韵升,0.163,0.0094,0.085,0.0405,8.3425
724,300652,雷迪克,0.1626,,1.0571,,
725,002275,桂林三金,0.1625,0.0173,0.6777,0.1202,16.1644
726,600351,亚宝药业,0.1615,0.0204,1.3367,0.0545,6.1329
727,603387,基蛋生物,0.1613,,0.4162,,
728,601890,亚星锚链,0.1609,0.0147,2.0319,0.0702,7.7366
729,300140,中环装备,0.1607,0.0075,,0.0357,4.2515
730,603067,振华股份,0.1606,,2.532,,
731,300518,盛讯达,0.1603,0.014,0.4322,0.1431,52.8893
