,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
1725,603168,莎普爱思,,,74.6588,50.882,,327.9694,
1726,300640,德艺文创,,,,,,,
1727,600421,ST仰帆,,,100.0,-3.3952,,-0.0341,
1728,000736,中交地产,,,,,,,
1729,603198,迎驾贡酒,,,61.0162,382.0718,,1733.0476,
1730,002397,梦洁股份,,,45.5897,91.8589,,1006.7941,
1731,000760,斯太尔,,,10.2077,-144.4675,,121.2634,
1732,000797,中国武夷,,,,,,,
1733,300020,银江股份,,,26.2266,92.3225,,1081.634,
1734,300715,凯伦股份,,,,,,,
1735,300041,回天新材,,,,,,,
1736,600530,交大昂立,,,55.4926,64.3815,,145.6459,
1737,000876,新希望,,,,,,,
1738,300098,高新兴,,,,,,,
1739,600601,方正科技,,,16.4142,-144.9713,,2192.2786,
1740,600601,方正科技,,,16.4142,-144.9713,,2192.2786,
1741,000938,紫光股份,,,21.5532,733.1736,,22443.6496,
1742,600616,金枫酒业,,,43.8398,28.2273,,397.2252,
1743,600624,复旦复华,,,53.8193,20.2235,,459.6706,
1744,600640,号百控股,,,31.3353,133.9099,,1572.8005,
1745,300149,量子生物,,,,,,,
1746,000982,*ST中绒,,,,,,,
1747,300176,鸿特科技,,,,,,,
1748,300193,佳士科技,,,33.0156,86.345,,451.1607,
1749,300212,易华录,,,,,,,
1750,002041,登海种业,,,,,,,
1751,603727,博迈科,,,-117.1459,-63.2712,,56.0147,
1752,002073,软控股份,,,,,,,
1753,300250,初灵信息,,,,,,,
1754,002612,朗姿股份,,,57.3373,111.6624,,1297.6959,
1755,600791,京能置业,,,16.3639,7.6612,,434.5803,
1756,600821,津劝业,,,,,,,
1757,002126,银轮股份,,,,,,,
1758,603885,吉祥航空,,,16.996,618.2808,,6930.3979,
1759,002132,恒星科技,,,,,,,
1760,600038,中直股份,,,12.6355,178.0048,,5359.381,
1761,002158,汉钟精机,,,33.4535,104.5382,,816.3873,
1762,600053,九鼎投资,,,94.8216,96.403,,382.7403,
1763,600883,博闻科技,,,1.0202,7.135,,20.2923,
1764,300369,绿盟科技,,,,,,,
1765,002687,乔治白,,,,,,,
1766,603986,兆易创新,,,37.8738,235.0563,,1106.5222,
1767,600909,华安证券,,,38.5364,244.9694,,810.1217,
1768,000061,农产品,,,,,,,
1769,601108,财通证券,,,36.4107,584.5068,,1814.1427,
1770,000068,华控赛格,,,,,,,
1771,000151,中成股份,,,,,,,
1772,000530,大冷股份,,,,,,,
1773,002281,光迅科技,,,16.8812,139.1639,,2434.8349,
1774,300528,幸福蓝海,,,,,,,
1775,601999,出版传媒,,,23.1212,63.4357,,1061.0503,
1776,000572,海马汽车,,,5.3097,-275.1472,,2721.8651,
