rank2018,rank2017,name,income,profit,code,market,note,note2
348,302,广州白云山医药集团股份有限公司,20954,2062,0000,,,
349,314,中芯国际集成电路制造有限公司,20939,1213,0000,,,
350,443,华新水泥股份有限公司,20889,2078,0000,,,
351,292,光明房地产集团股份有限公司,20811,1947,0000,,,
352,--,众泰汽车股份有限公司,20804,1136,0000,,,
353,--,浙江交通科技股份有限公司,20768,1107,0000,,,
354,402,平顶山天安煤业股份有限公司,20742,1377,0000,,,
355,392,宝胜科技创新股份有限公司,20691,86,0000,,,
356,461,盛屯矿业集团股份有限公司,20668,610,0000,,,
357,324,江西正邦科技股份有限公司,20615,526,0000,,,
358,437,冀中能源股份有限公司,20382,1064,0000,,,
359,347,中国联塑集团控股有限公司,20360,2293,0000,,,
360,--,德邦物流股份有限公司,20350,547,0000,,,
361,360,阳煤化工股份有限公司,20262,116,0000,,,
362,356,江苏国信股份有限公司,20204,2180,0000,,,
363,377,唐山三友化工股份有限公司,20196,1889,0000,,,
364,--,百世集团,19990,-1228,0000,,,
365,355,圆通速递股份有限公司,19982,1443,0000,,,
366,326,中国电力国际发展有限公司,19967,795,0000,,,
367,348,江苏洋河酒厂股份有限公司,19918,6627,0000,,,
368,449,珠海华发实业股份有限公司,19917,1620,0000,,,
369,327,金正大生态工程集团股份有限公司,19834,716,0000,,,
370,317,恒安国际集团有限公司,19825,3794,0000,,,
371,336,达利食品集团有限公司,19799,3434,0000,,,
372,349,上海锦江国际酒店（集团）股份有限公司,19759,761,0000,,,
373,378,晶澳太阳能控股有限公司,19659,300,0000,,,
374,--,中国中材国际工程股份有限公司,19554,977,0000,,,
375,365,山东恒邦冶炼股份有限公司,19523,361,0000,,,
376,--,中航沈飞股份有限公司,19459,707,0000,,,
377,357,中国忠旺控股有限公司,19459,3533,0000,,,
378,--,江苏中利集团股份有限公司,19415,306,0000,,,
379,--,传化智联股份有限公司,19280,469,0000,,,
380,394,扬子江船业（控股）有限公司,19206,2932,0000,,,
381,441,中粮屯河糖业股份有限公司,19157,740,0000,,,
382,485,中国奥园地产集团股份有限公司,19115,1640,0000,,,
383,335,中国润东汽车集团有限公司,19111,261,0000,,,
384,297,江苏宏图高科技股份有限公司,19032,608,0000,,,
385,380,天津泰达股份有限公司,19023,298,0000,,,
386,395,深圳市中金岭南有色金属股份有限公司,19016,1067,0000,,,
387,331,宝业集团股份有限公司,18978,609,0000,,,
388,346,浙江英特集团股份有限公司,18907,83,0000,,,
389,352,河南神火煤电股份有限公司,18899,368,0000,,,
390,408,山东太阳纸业股份有限公司,18894,2024,0000,,,
391,448,浙江大华技术股份有限公司,18844,2379,0000,,,
392,372,上海电力股份有限公司,18844,928,0000,,,
393,364,锦州银行股份有限公司,18806,8977,0000,,,
394,424,远东宏信有限公司,18782,3229,0000,,,
395,354,北京大北农科技集团股份有限公司,18742,1265,0000,,,
396,359,福耀玻璃工业集团股份有限公司,18716,3149,0000,,,
397,431,上海世茂股份有限公司,18667,2225,0000,,,
398,489,开滦能源化工股份有限公司,18562,517,0000,,,
399,345,天虹商场股份有限公司,18536,718,0000,,,
400,420,云南驰宏锌锗股份有限公司,18469,1155,0000,,,
401,400,北控水务集团有限公司,18361,3221,0000,,,
402,--,搜于特集团股份有限公司,18349,613,0000,,,
403,344,广深铁路股份有限公司,18331,1015,0000,,,
404,350,海澜之家股份有限公司,18200,3329,0000,,,
405,366,宁波舟山港股份有限公司,18183,2677,0000,,,
406,339,武汉武商集团股份有限公司,18122,1241,0000,,,
407,393,申洲国际集团控股有限公司,18085,3763,0000,,,
408,407,凌源钢铁股份有限公司,17988,1207,0000,,,
409,325,信利国际有限公司,17963,55,0000,,,
410,367,南京新街口百货商店股份有限公司,17960,736,0000,,,
411,405,龙元建设集团股份有限公司,17873,607,0000,,,
412,278,厦门金龙汽车集团股份有限公司,17736,479,0000,,,
413,--,吉林亚泰（集团）股份有限公司,17655,790,0000,,,
414,398,中化化肥控股有限公司,17644,-2208,0000,,,
415,438,新湖中宝股份有限公司,17500,3322,0000,,,
416,476,山鹰国际控股股份公司,17470,2015,0000,,,
417,440,河南豫光金铅股份有限公司,17449,291,0000,,,
418,391,中海油田服务股份有限公司,17436,33,0000,,,
419,--,爱奇艺,17378,973,0000,,,
420,--,东旭光电科技股份有限公司,17336,1744,0000,,,
421,383,步步高商业连锁股份有限公司,17311,146,0000,,,
422,311,中天金融集团股份有限公司,17264,2082,0000,,,
